restaurant,michelin_stars,city,province,region,coast_province,coordenates,latitude,longitude,price_menu_1,price_menu_2,price_average,type_of_cooking1,type_of_cooking2,international_cooking,regional_cooking
Casa Pepa,1,Ondara,Alicante,C.Valenciana,Yes,"38.8199543,0.0034418",38.8199543,0.0034418,45,85.0,65.0,Creativa,,,
La Salita,1,Valencia,Valencia,C.Valenciana,Yes,"39.4625364,-0.3716751",39.4625364,-0.3716751,88,121.0,104.5,Creativa,Moderna,,
El Poblet,2,Valencia,Valencia,C.Valenciana,Yes,"39.4696969,-0.3766837",39.4696969,-0.3766837,88,135.0,111.5,Creativa,,,
Ricard Camarena,2,Valencia,Valencia,C.Valenciana,Yes,"39.4854049,-0.3852846",39.4854049,-0.3852846,135,175.0,155.0,Creativa,,,
Riff,1,Valencia,Valencia,C.Valenciana,Yes,"39.4656285,-0.3707347",39.4656285,-0.3707347,45,135.0,90.0,Creativa,Moderna,,
Sucede,1,Valencia,Valencia,C.Valenciana,Yes,"39.4759641,-0.3740923",39.4759641,-0.3740923,98,120.0,109.0,Moderna,,,
El Ermitao,1,Benavente,Valencia,C.Valenciana,Yes,"42.0062151,-5.6592607",42.0062151,-5.6592607,45,75.0,60.0,Moderna,Tradicional,,
Quique Dacosta,3,Denia,Alicante,C.Valenciana,Yes,"38.8537421,0.0829915",38.8537421,0.0829915,210,,210.0,Creativa,,,
BombAmb,2,Javea,Alicante,C.Valenciana,Yes,"38.7900175,-0.1299619",38.7900175,-0.1299619,70,150.0,110.0,Creativa,,,
Tula,1,Xabia,Alicante,C.Valenciana,Yes,"38.7884746,-0.4713395",38.7884746,-0.4713395,40,70.0,55.0,Moderna,,,Mediterranea
La Lobita,1,Navaleno,Alicante,C.Valenciana,Yes,"41.8366253,-3.0085014",41.8366253,-3.0085014,70,90.0,80.0,Creativa,,,
Nova,1,Orense,Orense,Galicia,No,"42.3399499,-7.8644896",42.3399499,-7.8644896,40,80.0,60.0,Moderna,,,
Miguel Gonzalez,1,Tibias,Orense,Galicia,No,"42.3489817,-7.8154355",42.3489817,-7.8154355,60,75.0,67.5,Contemporanea,,,Gallega
Baluarte,1,Soria,Soria,Castilla y Leon,No,"41.7625529,-2.4678017",41.7625529,-2.4678017,39,75.0,57.0,Moderna,,,
Muna,1,Ponferrada,Leon,Castilla y Leon,No,"42.5433255,-6.5952834",42.5433255,-6.5952834,27,68.0,47.5,Moderna,,,
Silabario,1,Vigo,Pontevedra,Galicia,Yes,"41.721574,-9.7858603",41.721574,-9.7858603,25,80.0,52.5,Moderna,,,
Maruja Limon,1,Vigo,Pontevedra,Galicia,Yes,"42.240349,-8.7260007",42.240349,-8.7260007,50,90.0,70.0,Creativa,,,
Cal Paradis,1,Castellon,Castellon,C.Valenciana,Yes,"40.1767805,-0.0361284",40.1767805,-0.0361284,45,110.0,77.5,Creativa,,,
Pablo,1,Leon,Leon,Castilla y Leon,No,"42.6005993,-5.5685987",42.6005993,-5.5685987,60,85.0,72.5,Moderna,,,
Cocinados,1,Leon,Leon,Castilla y Leon,No,"42.6020817,-5.5832467",42.6020817,-5.5832467,55,90.0,72.5,Moderna,,,
Eirado,1,Pontevedra,Pontevedra,Galicia,Yes,"42.432601,-8.6455637",42.432601,-8.6455637,45,72.0,58.5,Moderna,,,
Pepe Vieira,1,Serpe,Pontevedra,Galicia,Yes,"42.4090574,-8.7566269",42.4090574,-8.7566269,87,145.0,116.0,Creativa,,,
Solla,1,Solla,Pontevedra,Galicia,Yes,"42.4333824,-8.6712184",42.4333824,-8.6712184,96,136.0,116.0,Creativa,,,
El Portal de Echauren,2,Ezcaray,La Rioja,La Rioja,No,"42.3254967,-3.0168118",42.3254967,-3.0168118,75,150.0,112.5,Creativa,Moderna,,
Culler de Pau,2,Reboredo,Pontevedra,Galicia,Yes,"42.4753419,-8.8980836",42.4753419,-8.8980836,90,130.0,110.0,Creativa,,,
